revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_15d0103_d9950d2/rev_15d0103-d9950d2.revisions;158;75;0;75;0;83;61;0;22;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/unb/revisions/rev_7939377_4f7423a/rev_7939377-4f7423a.revisions;66;44;0;44;0;22;22;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_3446db9_52bc1f0/rev_3446db9-52bc1f0.revisions;6;3;0;3;0;3;3;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_78bf9da_4c9c0d8/rev_78bf9da-4c9c0d8.revisions;549;362;0;362;0;187;187;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/unb/revisions/rev_4c4acf8_98a562e/rev_4c4acf8-98a562e.revisions;75;45;0;45;0;30;30;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_93aa657_12f2a8a/rev_93aa657-12f2a8a.revisions;90;64;0;64;0;26;22;0;4;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_c367bd7_7e37a03/rev_c367bd7-7e37a03.revisions;644;454;0;454;0;190;185;0;5;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/unb/revisions/rev_07b14da_44a9fa1/rev_07b14da-44a9fa1.revisions;163;92;0;92;0;71;71;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_4dcf086_44377d0/rev_4dcf086-44377d0.revisions;88;64;0;64;0;24;24;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_268e4d1_6238e1d/rev_268e4d1-6238e1d.revisions;642;455;0;455;0;187;187;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/unb/revisions/rev_272be2d_b35c631/rev_272be2d-b35c631.revisions;236;89;0;89;0;147;147;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_3acfab4_acfb4a6/rev_3acfab4-acfb4a6.revisions;91;64;0;64;0;27;27;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_24e11a6_36570b6/rev_24e11a6-36570b6.revisions;1006;787;0;787;0;219;219;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/unb/revisions/rev_272be2d_83b25f6/rev_272be2d-83b25f6.revisions;236;89;0;89;0;147;147;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_dd797fd_784f2d6/rev_dd797fd-784f2d6.revisions;91;64;0;64;0;27;27;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_11d92e2_ba34be0/rev_11d92e2-ba34be0.revisions;1030;790;0;790;0;240;218;1;21;0;3;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/unb/revisions/rev_272be2d_330db51/rev_272be2d-330db51.revisions;236;89;0;89;0;147;147;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_784f2d6_89fa2d7/rev_784f2d6-89fa2d7.revisions;91;64;0;64;0;27;27;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_4f45ff4_0eead37/rev_4f45ff4-0eead37.revisions;1008;789;0;789;0;219;219;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/unb/revisions/rev_975f027_dc07050/rev_975f027-dc07050.revisions;236;89;0;89;0;147;147;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_5902e57_090aac1/rev_5902e57-090aac1.revisions;1019;788;0;788;0;231;231;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_52cc7fd_564a51d/rev_52cc7fd-564a51d.revisions;95;65;0;65;0;30;30;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_e450f35_cdd3422/rev_e450f35-cdd3422.revisions;1019;788;0;788;0;231;231;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_5f7b3e5_77b9492/rev_5f7b3e5-77b9492.revisions;95;65;0;65;0;30;30;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_1c2612b_d93f21d/rev_1c2612b-d93f21d.revisions;1019;788;0;788;0;231;231;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_f43faad_9737fd7/rev_f43faad-9737fd7.revisions;106;66;0;66;0;40;38;1;1;0;1;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_32d99e6_5d2885e/rev_32d99e6-5d2885e.revisions;1027;788;0;788;0;239;229;1;9;0;1;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_14fe8c9_d6836e8/rev_14fe8c9-d6836e8.revisions;105;66;0;66;0;39;39;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_0f8a56f_8b77fc2/rev_0f8a56f-8b77fc2.revisions;1047;789;0;789;0;258;231;0;27;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_ba26ce3_fbd1a62/rev_ba26ce3-fbd1a62.revisions;105;66;0;66;0;39;39;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_8c59ac7_f95c507/rev_8c59ac7-f95c507.revisions;719;497;0;497;0;222;215;0;7;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_1b397dc_c1a9db2/rev_1b397dc-c1a9db2.revisions;114;66;0;66;0;48;48;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_ff28e37_98be70a/rev_ff28e37-98be70a.revisions;760;500;0;500;0;260;207;3;50;1;1;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_7c051c7_f0e39aa/rev_7c051c7-f0e39aa.revisions;114;75;0;75;0;39;39;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_1de4f2b_d0cf750/rev_1de4f2b-d0cf750.revisions;758;501;0;501;0;257;211;3;43;1;2;1;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_ab623f8_d840567/rev_ab623f8-d840567.revisions;153;76;0;76;0;77;76;0;1;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_98be70a_646c55f/rev_98be70a-646c55f.revisions;740;503;0;503;0;237;237;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_d14d83f_fe1f31b/rev_d14d83f-fe1f31b.revisions;138;76;0;76;0;62;47;1;14;0;1;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_cf6ad2d_2d9dbeb/rev_cf6ad2d-2d9dbeb.revisions;748;503;0;503;0;245;245;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;167;76;0;76;0;91;84;5;2;0;5;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_d762804_bb69ffe/rev_d762804-bb69ffe.revisions;749;504;0;504;0;245;245;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_b58ae04_3ec9ffc/rev_b58ae04-3ec9ffc.revisions;139;76;0;76;0;63;47;2;14;0;4;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_7ade930_01c32c5/rev_7ade930-01c32c5.revisions;748;503;0;503;0;245;245;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_341008c_a61203a/rev_341008c-a61203a.revisions;160;76;0;76;0;84;84;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_317fb4a_1208bee/rev_317fb4a-1208bee.revisions;748;503;0;503;0;245;245;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_b0a87b7_87b2fed/rev_b0a87b7-87b2fed.revisions;125;76;0;76;0;49;49;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_cfe727c_94e941c/rev_cfe727c-94e941c.revisions;751;506;0;506;0;245;245;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_b6e7bb8_8541c0e/rev_b6e7bb8-8541c0e.revisions;172;76;0;76;0;96;83;1;12;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_b6201c5_433301e/rev_b6201c5-433301e.revisions;751;506;0;506;0;245;245;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_2d5bb59_07320dd/rev_2d5bb59-07320dd.revisions;171;76;0;76;0;95;95;0;0;0;0;0;0
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_221f669_ea9b1d7/rev_221f669-ea9b1d7.revisions;759;506;0;506;0;253;244;1;8;0;0;0;0
