revision;file;methodSignature
E:\Mestrado\FPFNAnalysis\projects\andlytics\revisions\rev_66f86ad_333f857\rev_66f86ad-333f857;\src\com\github\andlyticsproject\db\AndlyticsDb;fetchRevenueSummary(AppInfo);public synchronized void fetchRevenueSummary(AppInfo appInfo) {
E:\Mestrado\FPFNAnalysis\projects\andlytics\revisions\rev_66f86ad_333f857\rev_66f86ad-333f857;\src\com\github\andlyticsproject\model\AppStats;getTotalRevenue();public Revenue getTotalRevenue() {
E:\Mestrado\FPFNAnalysis\projects\andlytics\revisions\rev_66f86ad_333f857\rev_66f86ad-333f857;\src\com\github\andlyticsproject\model\RevenueSummary;hasRevenue();public boolean hasRevenue() {
E:\Mestrado\FPFNAnalysis\projects\andlytics\revisions\rev_66f86ad_333f857\rev_66f86ad-333f857;\src\com\github\andlyticsproject\console\v2\JsonParser;parseRevenueResponse(String);static RevenueSummary parseRevenueResponse(String json) throws JSONException {
E:\Mestrado\FPFNAnalysis\projects\andlytics\revisions\rev_66f86ad_333f857\rev_66f86ad-333f857;\src\com\github\andlyticsproject\ContentAdapter;getRevenueSummaryForApp(AppInfo);public RevenueSummary getRevenueSummaryForApp(AppInfo app) {
E:\Mestrado\FPFNAnalysis\projects\andlytics\revisions\rev_66f86ad_333f857\rev_66f86ad-333f857;\src\com\github\andlyticsproject\console\v2\DevConsoleV2;fetchRevenueSummary(AppInfo);private RevenueSummary fetchRevenueSummary(AppInfo appInfo) throws DevConsoleException {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport-sctp\src\main\java\io\netty\channel\sctp\SctpWorker;registerTask(AbstractNioChannel,ChannelFuture);@Override    protected void registerTask(AbstractNioChannel ch, ChannelFuture future) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\example\src\main\java\io\netty\example\http\snoop\HttpSnoopClientHandler;messageReceived(ChannelHandlerContext,MessageEvent);@Override    public void messageReceived(ChannelHandlerContext ctx, MessageEvent e) throws Exception {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport\src\main\java\io\netty\channel\socket\nio\SendBufferPool;acquire(ChannelBuffer);private SendBuffer acquire(ChannelBuffer src) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\codec-http\src\main\java\io\netty\handler\codec\spdy\SpdySessionHandler;sendGoAwayFrame(ChannelHandlerContext,ChannelStateEvent);private void sendGoAwayFrame(ChannelHandlerContext ctx, ChannelStateEvent e) {
